TotalConfirmedCovidCases,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases
366,84.0,6.0,59.0
557,108.0,7.0,84.0
683,140.0,12.0,114.0
785,173.0,13.0,147.0
906,211.0,17.0,159.0
1125,239.0,25.0,208.0
1329,277.0,36.0,247.0
1564,305.0,39.0,283.0
1819,340.0,47.0,321.0
2121,419.0,59.0,375.0
2415,489.0,67.0,445.0
2615,564.0,77.0,506.0
2910,645.0,84.0,578.0
3235,703.0,113.0,674.0
3447,834.0,126.0,752.0
3849,932.0,134.0,841.0
4273,1039.0,148.0,948.0
4604,1118.0,158.0,1084.0
4994,1203.0,165.0,1163.0
5364,1265.0,169.0,1263.0
5709,1345.0,194.0,1388.0
6074,1472.0,224.0,1568.0
6574,1521.0,230.0,1765.0
7054,1631.0,244.0,1949.0
8928,1718.0,253.0,2141.0
9655,1777.0,261.0,2312.0
10647,1849.0,268.0,2489.0
11479,1903.0,275.0,2707.0
12547,1968.0,280.0,2872.0
13271,2026.0,284.0,3090.0
13980,2082.0,294.0,3347.0
14758,2168.0,296.0,3573.0
15251,2233.0,303.0,3788.0
15652,2272.0,306.0,4009.0
16040,2323.0,315.0,4180.0
16671,2387.0,322.0,4393.0
17607,2424.0,331.0,4545.0
18184,2486.0,338.0,4713.0
18561,2536.0,344.0,4847.0
19262,2576.0,349.0,5064.0
19648,2624.0,353.0,5204.0
19877,2638.0,358.0,5414.0
20253,2669.0,355.0,5568.0
20612,2706.0,360.0,5684.0
20833,2768.0,367.0,5840.0
21176,2785.0,368.0,5973.0
21506,2825.0,363.0,6068.0
21772,2840.0,364.0,6211.0
21983,2879.0,369.0,6293.0
22248,2878.0,373.0,6393.0
22385,2891.0,376.0,6498.0
22541,2915.0,373.0,6586.0
22760,2954.0,381.0,6669.0
22996,2986.0,383.0,6771.0
23135,2998.0,383.0,6834.0
23242,3031.0,386.0,6906.0
23401,3050.0,389.0,6997.0
23827,3053.0,387.0,7123.0
23956,3062.0,387.0,7427.0
24048,3094.0,389.0,7530.0
24112,3117.0,389.0,7566.0
24200,3127.0,391.0,7615.0
24251,3143.0,390.0,7661.0
24315,3164.0,393.0,7708.0
24391,3183.0,392.0,7747.0
24506,3194.0,393.0,7791.0
24582,3211.0,393.0,7813.0
24639,3222.0,394.0,7819.0
24698,3225.0,394.0,7842.0
24735,3233.0,395.0,7852.0
24803,3251.0,399.0,7891.0
24841,3267.0,404.0,7920.0
24876,3270.0,404.0,7943.0
24929,3279.0,408.0,7955.0
24990,3283.0,408.0,7963.0
25062,3286.0,408.0,7968.0
25066,3292.0,408.0,7986.0
25111,3298.0,409.0,8004.0
25142,3311.0,410.0,8025.0
25163,3312.0,410.0,8046.0
25183,3319.0,410.0,8059.0
25201,3321.0,409.0,8057.0
25207,3322.0,411.0,8073.0
25215,3331.0,413.0,8087.0
25231,3321.0,411.0,8099.0
25238,3307.0,412.0,8114.0
25250,3275.0,415.0,8116.0
25295,3276.0,416.0,8123.0
25303,3279.0,416.0,8130.0
25321,3278.0,417.0,8130.0
25334,3282.0,418.0,8139.0
25341,3278.0,417.0,8144.0
25355,3282.0,417.0,8147.0
25368,3286.0,416.0,8154.0
25374,3280.0,419.0,8152.0
25379,3282.0,419.0,8158.0
25383,3284.0,431.0,8161.0
25391,3285.0,434.0,8172.0
25396,3292.0,434.0,8177.0
25405,3293.0,433.0,8178.0
25414,3293.0,434.0,8185.0
25437,3293.0,434.0,8185.0
25438,3293.0,434.0,8185.0
25462,3293.0,435.0,8201.0
25473,3295.0,434.0,8208.0
25477,3298.0,434.0,8215.0
25489,3298.0,434.0,8215.0
25498,3307.0,436.0,8219.0
25509,3309.0,436.0,8226.0
25527,3308.0,436.0,8227.0
25531,3309.0,437.0,8234.0
25538,3307.0,436.0,8237.0
25542,3313.0,436.0,8251.0
25565,3328.0,436.0,8265.0
25589,3328.0,436.0,8268.0
25611,3330.0,436.0,8273.0
25628,3330.0,436.0,8276.0
25638,3330.0,436.0,8284.0
25670,3332.0,436.0,8293.0
25683,3337.0,437.0,8313.0
25698,3339.0,437.0,8324.0
25730,3339.0,437.0,8326.0
25750,3342.0,437.0,8333.0
25760,3342.0,437.0,8338.0
25766,3343.0,437.0,8342.0
25802,3342.0,437.0,8348.0
25819,3340.0,438.0,8355.0
25826,3341.0,438.0,8367.0
25845,3344.0,438.0,8380.0
25869,3345.0,438.0,8381.0
25881,3345.0,438.0,8384.0
25892,3346.0,438.0,8390.0
25929,3349.0,437.0,8395.0
25942,3349.0,438.0,8401.0
26027,3350.0,438.0,8407.0
26065,3352.0,437.0,8420.0
26109,3353.0,437.0,8429.0
26162,3359.0,437.0,8432.0
26208,3359.0,437.0,8437.0
26253,3358.0,437.0,8438.0
26303,3357.0,439.0,8442.0
26372,3359.0,437.0,8444.0
26470,3362.0,438.0,8448.0
26644,3364.0,438.0,8451.0
26712,3365.0,438.0,8456.0
26768,3364.0,438.0,8458.0
26801,3372.0,439.0,8467.0
26838,3376.0,441.0,8469.0
26929,3378.0,441.0,8474.0
26995,3381.0,441.0,8480.0
27191,3384.0,441.0,8484.0
27257,3385.0,442.0,8495.0
27313,3387.0,442.0,8501.0
27499,3388.0,441.0,8510.0
27547,3389.0,442.0,8523.0
27676,3394.0,443.0,8527.0
27755,3393.0,443.0,8536.0
27908,3394.0,443.0,8542.0
27969,3396.0,443.0,8550.0
28116,3398.0,443.0,8553.0
28201,3397.0,443.0,8562.0
28363,3397.0,444.0,8567.0
28453,3386.0,444.0,8584.0
28578,3384.0,446.0,8598.0
28720,3386.0,446.0,8608.0
28760,3394.0,446.0,8621.0
28811,3400.0,446.0,8628.0
29025,3405.0,446.0,8637.0
29114,3411.0,447.0,8660.0
29206,3415.0,447.0,8678.0
29303,3412.0,447.0,8695.0
29534,3418.0,448.0,8719.0
29672,3424.0,448.0,8742.0
29774,3427.0,448.0,8771.0
30080,3429.0,449.0,8780.0
30164,3434.0,450.0,8805.0
30360,3435.0,450.0,8815.0
30571,3440.0,450.0,8837.0
30730,3445.0,450.0,8862.0
30985,3451.0,450.0,8875.0
31192,3457.0,450.0,8889.0
31549,3462.0,451.0,8902.0
31799,3469.0,452.0,8922.0
32023,3477.0,454.0,8943.0
32271,3490.0,455.0,8959.0
32538,3500.0,457.0,8968.0
32933,3514.0,458.0,8990.0
33121,3524.0,460.0,9011.0
33444,3535.0,462.0,9030.0
33675,3548.0,467.0,9054.0
33994,3552.0,467.0,9069.0
34315,3560.0,468.0,9091.0
34560,3566.0,469.0,9104.0
34990,3575.0,469.0,9111.0
35377,3583.0,469.0,9128.0
35740,3593.0,468.0,9153.0
36155,3600.0,470.0,9183.0
36597,3617.0,473.0,9221.0
37063,3631.0,475.0,9254.0
37668,3643.0,474.0,9294.0
38032,3653.0,474.0,9318.0
38549,3678.0,475.0,9342.0
38973,3676.0,476.0,9387.0
39584,3701.0,478.0,9434.0
40086,3729.0,482.0,9490.0
40703,3755.0,484.0,9536.0
41714,3769.0,489.0,9572.0
42528,3794.0,491.0,9603.0
43351,3822.0,491.0,9628.0
44159,3848.0,502.0,9682.0
45243,3877.0,503.0,9719.0
46429,3916.0,505.0,9792.0
47427,3936.0,508.0,9839.0
48678,3956.0,510.0,9870.0
49962,3980.0,511.0,9898.0
50993,3997.0,513.0,9917.0
52256,4021.0,517.0,9973.0
53422,4055.0,519.0,10012.0
54476,4118.0,524.0,10086.0
55261,4163.0,528.0,10113.0
56108,4155.0,529.0,10142.0
57128,4195.0,529.0,10154.0
58067,4210.0,529.0,10172.0
58767,4232.0,534.0,10203.0
59434,4254.0,538.0,10241.0
60297,4302.0,539.0,10405.0
61059,4348.0,542.0,10440.0
61456,4377.0,546.0,10472.0
62002,4397.0,547.0,10493.0
62750,4411.0,549.0,10519.0
63048,4449.0,560.0,10583.0
63483,4490.0,564.0,10630.0
64046,4528.0,567.0,10689.0
64538,4580.0,569.0,10757.0
64855,4605.0,571.0,10827.0
65394,4630.0,571.0,10862.0
65659,4664.0,571.0,10906.0
65889,4676.0,575.0,10944.0
66247,4744.0,585.0,11000.0
66632,4773.0,586.0,11075.0
67099,4808.0,589.0,11118.0
67526,4834.0,591.0,11193.0
67903,4854.0,591.0,11242.0
68356,4871.0,593.0,11283.0
68686,4893.0,595.0,11380.0
69058,4931.0,599.0,11457.0
69473,4954.0,600.0,11519.0
69802,5003.0,604.0,11565.0
70143,5032.0,604.0,11603.0
70461,5043.0,604.0,11637.0
70711,5053.0,604.0,11659.0
70930,5069.0,604.0,11675.0
71187,5117.0,614.0,11728.0
71494,5139.0,616.0,11763.0
71699,5158.0,619.0,11803.0
71942,5170.0,619.0,11840.0
72241,5188.0,619.0,11852.0
72544,5212.0,619.0,11896.0
72798,5225.0,622.0,12002.0
73066,5240.0,624.0,12068.0
73228,5255.0,624.0,12110.0
73491,5278.0,623.0,12137.0
73948,5296.0,628.0,12174.0
74246,5325.0,628.0,12234.0
74468,5332.0,630.0,12264.0
74682,5343.0,630.0,12302.0
74900,5360.0,633.0,12329.0
